year,ndvi_mean,ndwi_mean,nddi_mean,vegetation_score_0_100,moisture_score_0_100,nddi_drought_score_0_100,combined_surface_stress_0_100
2015-2016,0.1529,-0.2777,-3.2921,0.0,100.0,0.0,33.33
2016-2017,0.1781,-0.2915,-3.4729,26.33,80.26,41.54,44.98
2017-2018,0.2258,-0.3178,-3.6825,76.18,42.63,89.71,56.97
2018-2019,0.209,-0.3054,-3.6395,58.62,60.37,79.83,53.61
2019-2020,0.2214,-0.3199,-3.623,71.58,39.63,76.03,54.94
2020-2021,0.2056,-0.3097,-3.5247,55.07,54.22,53.45,48.05
2021-2022,0.2486,-0.3476,-3.6501,100.0,0.0,82.26,60.75
2022-2023,0.2367,-0.3311,-3.7273,87.57,23.61,100.0,62.94
2023-2024,0.1711,-0.2822,-3.5291,19.02,93.56,54.46,47.29
2024-2025,0.173,-0.2836,-3.4851,21.0,91.56,44.35,43.93
